Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Primary Neural Tube Formation (GO:0014020),8/28,2.914208546732018e-05,0.0083849727730971,0,0,8.245887445887446,86.11450059066043,VASP;SKI;TGFB1;DVL2;COBL;PLXNB2;SCRIB;PHACTR4
GO_Biological_Process_2023,Tube Closure (GO:0060606),8/29,3.86080597229878e-05,0.010182875751938,0,0,7.852813852813853,79.80068310366572,VASP;SKI;TGFB1;DVL2;COBL;PLXNB2;SCRIB;PHACTR4
GO_Biological_Process_2023,Negative Regulation Of Glycolytic Process (GO:0045820),5/10,4.502931220218562e-05,0.010962905624609,0,0,20.56418554476807,205.8104179786435,HDAC4;FLCN;PPARA;CBFA2T3;GIT1
GO_Biological_Process_2023,Histone Lysine Methylation (GO:0034968),8/32,8.355043675305188e-05,0.0188883665945292,0,0,6.87012987012987,64.51093220694652,KMT2D;NCOA6;DOT1L;KMT2B;SETD1A;CXXC1;SMYD1;HCFC1
GO_Biological_Process_2023,Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),23/207,0.00010424507830522338,0.0219203955650651,0,0,2.596809680968097,23.809540074765064,PTPRU;JRK;TGFB1;JUP;HDAC1;PPM1N;SOX13;PRDM15;FZD9;AXIN1;TMEM131L;GLI1;NKD1;NFKB1;SOX2;GPRC5B;LATS2;ZNF703;OTULIN;FAM53B;SNAI2;CSNK1G2;RNF220
GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),9/42,0.00011081400601612691,0.0219203955650651,0,0,5.624445976558652,51.225526926794494,ADAMTS2;COL27A1;COL1A2;COL5A3;COL11A2;SERPINF2;PLOD3;SCX;COLGALT1
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),46/557,0.0001290081516175795,0.0240182823452728,0,0,1.8854324499829929,16.88524477277043,HDAC4;CALCOCO1;NOTCH1;TRRAP;HDAC1;TGFB1I1;KMT2B;CXXC1;SCX;MLLT1;CHD4;GLI1;ELK1;RELA;PHF8;BICRA;IKBKB;MED12;SOX2;RXRA;NSD1;PRDM16;SUPT20H;ZNF423;NFRKB;TEAD2;BRD4;CREBBP;SMARCC1;BRPF1;TGFB1;NCOA6;AXIN1;WNT7A;SOX10;NFKB1;POU3F3;HCFC1;HINFP;DNM2;KAT2A;KANSL1;TAL1;TCF3;PPARA;TAF4
GO_Biological_Process_2023,Establishment Or Maintenance Of Apical/Basal Cell Polarity (GO:0035088),7/26,0.00014075926214856884,0.0247501702611233,0,0,7.587083926031294,67.28574642578468,CRB2;CRB1;PARD3;SCRIB;MARK2;LLGL1;LLGL2
GO_Biological_Process_2023,Canonical Wnt Signaling Pathway (GO:0060070),11/65,0.00018865346762632403,0.0305242624978333,0,0,4.205453010013271,36.064277493654906,WNT6;RARG;WNT2B;FRAT2;JUP;DVL1;DVL2;FZD9;FZD8;WNT7A;BCL9L
GO_Biological_Process_2023,Regulation Of Ras Protein Signal Transduction (GO:0046578),12/76,0.0001931485043392788,0.0305242624978333,0,0,3.8730978260869566,33.12293095933503,KANK2;NOTCH2;FLCN;SYDE1;NOTCH1;DENND4B;ARHGEF18;MYO9B;RAF1;RASAL3;LZTR1;GIT1
GO_Biological_Process_2023,Axon Guidance (GO:0007411),18/149,0.0002025306516443921,0.0305242624978333,0,0,2.8468605408655856,24.211465147874,NOTCH2;VASP;SEMA6C;NOTCH3;NOTCH1;UNC5A;UNC5B;L1CAM;NTN1;SMO;KIF5A;PLXNA1;PLXNB2;PLXNB1;ARHGEF40;NEO1;DSCAML1;PLXNA3
GO_Biological_Process_2023,Negative Regulation Of miRNA Transcription (GO:1902894),6/20,0.0002223812978651585,0.0319925821701466,0,0,8.818574514038877,74.1740628173171,NCOR2;TGFB1;NFATC3;PPARA;RELA;NFATC4
GO_Biological_Process_2023,Negative Regulation Of miRNA Metabolic Process (GO:2000629),6/21,0.0002991245818450256,0.0411621435451959,0,0,8.23023758099352,66.78550075824043,NCOR2;TGFB1;NFATC3;PPARA;RELA;NFATC4
GO_Biological_Process_2023,Brain Development (GO:0007420),19/169,0.00034757864252049473,0.0450497272974292,0,0,2.6246221248630888,20.903854380086376,EMX2;ZFHX2;AMIGO3;NCOA6;SETD1A;MAST1;MINK1;CXCR4;SMG9;PHF8;PITPNM1;DDIT4;PLXNB2;CIC;DSCAML1;SHANK3;MDGA1;GIT1;NKX2-2
GO_Biological_Process_2023,Histone Modification (GO:0016570),12/81,0.0003558430276258232,0.0450497272974292,0,0,3.591493383742911,28.520123871626176,HDAC4;ING5;HDAC5;CREBBP;TRRAP;HDAC1;MIER2;SIRT4;CHD4;JADE3;JADE2;HDAC6
GO_Biological_Process_2023,Negative Regulation Of Carbohydrate Metabolic Process (GO:0045912),7/30,0.0003701250127792723,0.0450556025171691,0,0,6.2662749706227965,49.514035299188535,HDAC4;FLCN;KAT2A;TGFB1;PPARA;CBFA2T3;GIT1
GO_Biological_Process_2023,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),38/456,0.00040616802139187936,0.0463115766367825,0,0,1.896481594468172,14.80913858572934,HDAC4;HDAC5;KDM5C;NOTCH1;HDAC1;EHMT1;CHD4;ASCL1;HDAC6;RELA;CYP27B1;HMBOX1;PRDM16;HEY2;ZNF703;ZNF746;CIC;ZNF423;ZBTB7A;HEXIM1;SPEN;DAXX;ZHX2;ZHX3;TGFB1;SPACDR;PHF12;DNMT3A;SOX13;CBFA2T2;CBFA2T3;TBX3;POU3F3;HINFP;NCOR2;HIC2;TIMELESS;MAP3K10
GO_Biological_Process_2023,Notch Signaling Pathway (GO:0007219),8/40,0.00043897229039604313,0.0463115766367825,0,0,5.1504329004329,39.81837925894317,NOTCH2;NOTCH3;NOTCH1;HEY2;SNAI2;ASCL1;ZNF423;DLL1
GO_Biological_Process_2023,Protein Deacetylation (GO:0006476),8/40,0.00043897229039604313,0.0463115766367825,0,0,5.1504329004329,39.81837925894317,HDAC4;HDAC5;HDAC1;MIER2;SIRT4;FLNA;CHD4;HDAC6
GO_Biological_Process_2023,Regulation Of Glycolytic Process (GO:0006110),8/40,0.00043897229039604313,0.0463115766367825,0,0,5.1504329004329,39.81837925894317,HDAC4;P2RX7;FLCN;ZBTB20;PPARA;ZBTB7A;CBFA2T3;GIT1
