Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),-0.5865113615737796,-2.0998545079543143,0.0,0.004053342970196942,0.074,34/53,29.76%,NDUFC2;DMAC1;NDUFAB1;NDUFAF5;NDUFS4;NDUFA5;NDUFS1;NDUFAF6;NDUFB5;NDUFC1;NDUFS5;NDUFA2;NDUFA13;NDUFA9;NDUFB1;NDUFA6;COA1;OXA1L;NDUFB6;NUBPL;NDUFB7;NDUFA1;NDUFA11;NDUFAF4;NDUFS3;LYRM2;NDUFB3;NDUFS8;NDUFAF8;NDUFB9;NDUFA3;NDUFAF1;NDUFB11;NDUFA10
prerank,Peptide Biosynthetic Process (GO:0043043),-0.48572496977473034,-2.085918943506746,0.0,0.004689492630797295,0.088,83/138,30.75%,PCSK1;WARS1;MRPS16;RPS4Y1;MRPL55;RPL15;FARSB;CARNS1;RPL12;RPL41;SARS1;MRPL28;RPL5;RPS20;RPS17;MRPS18A;MRPL13;HBS1L;RPL35;RPL27;MRPL24;RPL9;RPS24;MRPS18B;MRPL14;GGT5;RPL11;RPS10;RPL32;MRPS17;RPL36AL;MRPS21;RPL28;RPL27A;FAU;MRPS33;MRPL12;MRPL9;RPL8;RPL22;SRBD1;RPS4X;MRPS7;RPL37;RPL29;RPS27A;RPL36;RPS14;RPS8;RPSA;RPL24;RPL3;RPS13;RPL19;RPS2;RPL13A;RPL37A;RPS25;RPL10A;RPL4;RPL30;RPL7;RPS6;RPL35A;MRPL52;RPS29;MRPL51;RPL18A;MRPL42;COPS5;RPS11;MRPS12;RPL10;MRPS11;RPS19;RPL21;RPS9;RPL26;RPS15A;RPL13;RPL39;RPL34;MRPL11
prerank,Macromolecule Biosynthetic Process (GO:0009059),-0.47212879390658924,-2.067153499793203,0.0,0.006618682402650531,0.124,97/165,30.75%,INHBA;WARS1;SLC11A1;MRPS16;RPS4Y1;MRPL55;RPL15;FARSB;INHA;TYMS;RPL12;GCNT1;B4GAT1;RPL41;SARS1;MRPL28;ALAS1;RPL5;RPS20;RPS17;MRPS18A;MRPL13;HBS1L;RPL35;RPL27;MRPL24;RPL9;RPS24;MRPS18B;MRPL14;EIF5A2;RPL11;RPS10;RPL32;EEF1B2;MRPS17;RPL36AL;MRPS21;RPL28;RPL27A;FAU;MRPS33;MRPL12;MRPL9;EXT1;TUFM;RPL8;RPL22;SRBD1;RPS4X;MRPS7;RPL37;RPL29;RPS27A;RPL36;RPS14;RPS8;RPSA;RPL24;RPL3;RPS13;RPL19;RPS2;RPL13A;RPL37A;RPS25;EEF1G;RPL10A;RPL4;ALAS2;RPL30;TSFM;RPL7;RPS6;RPL35A;B4GALT5;MRPL52;RPS29;MRPL51;RPL18A;MRPL42;LARGE1;COPS5;RPS11;MRPS12;RPL10;MRPS11;RPS19;RPL21;EIF5A;RPS9;RPL26;RPS15A;RPL13;RPL39;RPL34;MRPL11
prerank,Bicellular Tight Junction Assembly (GO:0070830),0.6123286514549076,2.0622814644644683,0.0,0.0999310027598896,0.078,13/36,10.04%,CLDN18;CLDN9;CLDN15;OCLN;MARVELD2;CLDN7;CLDN10;MARVELD3;GRHL2;MICALL2;CLDN1;PARD3;APC
prerank,ATP Biosynthetic Process (GO:0006754),-0.6847034073688412,-2.0261825154503468,0.0,0.011628027645752475,0.206,19/23,21.52%,ATP5MC3;ATP5F1E;ATP5ME;NUDT2;ATP5F1A;ATP5F1C;ATP5MJ;ATP5MG;ATP5PD;ATP5PB;ATP5MK;ATP5PF;ATP5F1B;ATP5MC1;ATP5PO;ATP5MF;PRKAG2;ALDOA;ATP5MC2
prerank,Tight Junction Assembly (GO:0120192),0.5844599268678541,2.019580282079602,0.0,0.09652426402943881,0.142,15/40,13.48%,CLDN18;CLDN9;CLDN15;OCLN;MARVELD2;CLDN7;CLDN10;MARVELD3;GRHL2;MICALL2;CLDN1;PARD3;APC;MPDZ;ESAM
prerank,Monocyte Chemotaxis (GO:0002548),-0.6982998418520692,-2.018049711227692,0.0,0.012468855041653449,0.22,10/20,8.51%,CCL4L1;CCL3;CCL19;CCL2;CCL4;CCL3L1;LGALS3;PTPRO;CCL5;IL6
prerank,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),-0.5936274766166825,-2.0147837192934657,0.003968253968253968,0.012528514635154182,0.232,23/38,18.73%,NR4A3;ADRB3;CHCHD5;NDUFS4;NDUFS1;COX6C;SDHAF4;COX5A;UQCR10;LYRM7;COX7B;COX7A2;UQCRH;PPARGC1A;UQCRC1;COX15;UQCRC2;COX8A;COX4I1;COX6B1;UQCRQ;UQCRB;CYCS
prerank,Respiratory Chain Complex IV Assembly (GO:0008535),-0.6697079763534882,-2.009293618422031,0.0,0.012807682624307076,0.246,17/25,21.86%,UQCC6;COX18;UQCC5;COA3;SLC25A46;COA1;COX15;COX16;PET117;TMEM223;COX10;PET100;SCO1;COX19;SURF1;COA8;COX17
prerank,Regulation Of DNA Biosynthetic Process (GO:2000278),0.6219587198696818,2.008555509354226,0.0,0.06964888071143821,0.156,13/29,15.88%,HGF;FGFR4;JADE3;PDGFRB;HMBOX1;ATM;JADE2;SMG5;RGCC;DACH1;ING5;NIBAN2;PRKD2
prerank,Embryonic Limb Morphogenesis (GO:0030326),0.6247894605349931,2.0009403091172233,0.0,0.05848234820607175,0.168,16/30,19.93%,TBX3;WNT7A;SALL1;CREBBP;RARG;NOG;ZNF358;SKI;PTCH1;NIPBL;TBX2;MAP3K20;ECE1;HDAC1;TGFB2;GLI3
prerank,Positive Regulation Of Biosynthetic Process (GO:0009891),0.5749973466519042,1.9938703833564413,0.0,0.05223666053357865,0.184,19/38,20.40%,SLC5A3;SERPINF2;PCK1;SCX;ZBTB20;SIRT4;HSD17B13;TLR4;PPARA;TGFB1;RGCC;TLR6;GRIN1;TGFB3;MLXIPL;PLCG2;VIM;WNT4;MTOR
prerank,Cellular Response To Type II Interferon (GO:0071346),-0.6099524055490484,-1.9869811361835503,0.0,0.016724261984323002,0.31,10/37,7.59%,CCL4L1;CCL3;CCL19;CCL2;CCL4;CCL3L1;AIF1;STAT1;IRF1;CCL5
prerank,Canonical Wnt Signaling Pathway (GO:0060070),0.5370095828085442,1.9803996587021673,0.0,0.055264872738423794,0.228,24/55,14.62%,FZD9;FZD8;WNT6;WNT7A;WNT2;BCL9L;FZD1;WNT16;RARG;CCL14;WNT9B;WNT2B;FRAT2;DVL1;FRZB;TCF7;JUP;FZD7;TCF7L1;DVL2;LEF1;WNT9A;NID1;FZD2
prerank,Collagen Fibril Organization (GO:0030199),0.5792575268861035,1.9791877239254272,0.0,0.049316598764620835,0.234,18/40,17.50%,ADAMTS2;COL27A1;COL5A3;SERPINF2;COL1A2;SCX;PLOD3;COL11A1;SERPINH1;COLGALT1;COL5A1;COL11A2;LUM;LOXL1;COL1A1;COL3A1;COL5A2;GREM1
prerank,Mitochondrial Translation (GO:0032543),-0.4906929364869262,-1.9591992177034374,0.0,0.023014881384778235,0.422,61/96,34.30%,MRPS16;MRPL55;NDUFA7;MRPS30;MRPS23;MRPL30;MRPL1;MRPL28;MRPS28;MRPS18A;MRPL13;MRPS9;MRPL47;MRPL24;MRPL17;MRPS18B;MRPL14;MRPL58;FASTKD2;MRPS17;MRPL40;MRPL22;MRPS21;MRPL54;MRPL57;MRPL2;RARS2;MRPS33;MRPL12;MRPL9;TUFM;MRPL20;MRPL53;MRPS7;MRPS10;MRPS27;MRPS25;MRPS22;MRPL50;TSFM;MRPL52;MRPL51;MRPL42;MRPL39;MRPL21;MRPS12;MRPS11;MRPL45;MRPS24;DROSHA;GATB;GFM1;MRPL11;MTIF3;MRPS34;CHCHD1;MRPL46;MRPL44;MTIF2;MRPS14;MRPL35
prerank,Regulation Of Monoatomic Ion Transport (GO:0043269),0.6274933303094669,1.9335408762566695,0.0,0.08261341421343145,0.388,11/25,16.77%,KCNJ15;KCNJ16;KCNJ10;NEDD4;CLDN10;KCNJ2;CALHM1;KCNJ13;KCNJ14;KCNJ6;PXK
prerank,Apical Junction Assembly (GO:0043297),0.5530724263395764,1.929029989400069,0.0,0.07646235817233978,0.396,16/43,15.65%,CLDN18;CLDN9;CLDN15;OCLN;MARVELD2;CLDN7;CLDN10;MARVELD3;GRHL2;MICALL2;CLDN1;PARD3;APC;ESAM;FBF1;PKN2
prerank,Granulocyte Chemotaxis (GO:0071621),-0.5581587255942767,-1.925355379225295,0.0,0.033260797026596824,0.58,12/46,3.41%,CCL4L1;CXCL11;CXCL9;CCL3;CCL19;CXCL10;CCL2;TREM1;CXCL2;CXCL5;CCL4;CCL3L1
prerank,Regulation Of Monoatomic Ion Transmembrane Transport (GO:0034765),0.6142166202156321,1.9246885884104261,0.0,0.07244997700091996,0.412,12/26,15.79%,KCNJ15;P2RX7;KCNJ16;KCNJ10;NEDD4;KCNJ2;CALHM1;GRIN2C;KCNJ13;GRIN1;KCNJ14;KCNJ6
prerank,Cellular Response To Interleukin-1 (GO:0071347),-0.5309998834815927,-1.9180564606573092,0.004347826086956522,0.03490003359246422,0.608,10/53,4.43%,CCL4L1;EGR1;CCL3;CCL19;CCL2;IL1B;CCL4;CCL3L1;MYLK3;PLCB1
prerank,Cellular Response To Steroid Hormone Stimulus (GO:0071383),0.6766901588771598,1.9150716566543398,0.0,0.07247062390231664,0.438,8/21,11.46%,HSPA1A;HSPA1B;GPER1;AKR1C3;MGARP;TFPI;ATP1A2;TRERF1
prerank,Neutrophil Chemotaxis (GO:0030593),-0.5648404012889527,-1.9063834507869506,0.0,0.039805999401068,0.654,12/43,3.41%,CCL4L1;CXCL11;CXCL9;CCL3;CCL19;CXCL10;CCL2;TREM1;CXCL2;CXCL5;CCL4;CCL3L1
